ID,年份,地区,行政区划代码,所属省份,所属地域,长江经济带,专利申请总量,专利申请_发明专利,专利申请_实用新型,专利申请_外观设计,专利授权总量,专利授权_发明专利,专利授权_实用新型,专利授权_外观设计,Unnamed: 15
1404,2011,鹤岗市,230400,黑龙江省,中部,0,219,25,95,99,135,2,89,44,
1405,2012,鹤岗市,230400,黑龙江省,中部,0,550,27,98,425,439,3,69,367,
1406,2013,鹤岗市,230400,黑龙江省,中部,0,263,37,104,122,358,8,122,228,
1407,2014,鹤岗市,230400,黑龙江省,中部,0,157,38,100,19,133,2,118,13,
1408,2015,鹤岗市,230400,黑龙江省,中部,0,182,38,99,45,178,9,117,52,
1409,2016,鹤岗市,230400,黑龙江省,中部,0,174,38,105,31,99,5,84,10,
1410,2017,鹤岗市,230400,黑龙江省,中部,0,210,48,143,19,142,10,89,43,
1411,2018,鹤岗市,230400,黑龙江省,中部,0,229,44,163,22,168,11,144,13,
1412,2019,鹤岗市,230400,黑龙江省,中部,0,281,33,221,27,184,5,155,24,
1413,2020,鹤岗市,230400,黑龙江省,中部,0,661,89,518,54,338,7,287,44,
1414,2021,鹤岗市,230400,黑龙江省,中部,0,578,98,419,61,715,14,637,64,
1415,2022,鹤岗市,230400,黑龙江省,中部,0,431,94,285,52,430,18,355,57,
1416,2023,鹤岗市,230400,黑龙江省,中部,0,277,99,145,33,348,28,269,51,
1417,2000,双鸭山市,230500,黑龙江省,中部,0,48,9,36,3,47,4,37,6,
1418,2001,双鸭山市,230500,黑龙江省,中部,0,49,8,40,1,45,5,39,1,
1419,2002,双鸭山市,230500,黑龙江省,中部,0,76,12,63,1,41,2,36,3,
1420,2003,双鸭山市,230500,黑龙江省,中部,0,83,24,57,2,63,3,60,0,
1421,2004,双鸭山市,230500,黑龙江省,中部,0,60,10,46,4,51,2,45,4,
1422,2005,双鸭山市,230500,黑龙江省,中部,0,70,12,48,10,56,4,50,2,
1423,2006,双鸭山市,230500,黑龙江省,中部,0,84,24,51,9,61,5,46,10,
1424,2007,双鸭山市,230500,黑龙江省,中部,0,84,18,56,10,68,7,53,8,
1425,2008,双鸭山市,230500,黑龙江省,中部,0,75,15,57,3,86,7,70,9,
1426,2009,双鸭山市,230500,黑龙江省,中部,0,91,19,63,9,69,5,59,5,
1427,2010,双鸭山市,230500,黑龙江省,中部,0,135,36,98,1,82,3,71,8,
1428,2011,双鸭山市,230500,黑龙江省,中部,0,599,97,197,305,202,7,119,76,
1429,2012,双鸭山市,230500,黑龙江省,中部,0,736,78,289,369,621,10,222,389,
1430,2013,双鸭山市,230500,黑龙江省,中部,0,335,73,200,62,579,13,305,261,
1431,2014,双鸭山市,230500,黑龙江省,中部,0,378,79,270,29,264,17,224,23,
1432,2015,双鸭山市,230500,黑龙江省,中部,0,210,48,140,22,293,14,247,32,
1433,2016,双鸭山市,230500,黑龙江省,中部,0,257,69,126,62,186,21,122,43,
1434,2017,双鸭山市,230500,黑龙江省,中部,0,286,58,206,22,200,19,148,33,
1435,2018,双鸭山市,230500,黑龙江省,中部,0,369,53,281,35,248,9,208,31,
1436,2019,双鸭山市,230500,黑龙江省,中部,0,518,80,393,45,328,7,290,31,
1437,2020,双鸭山市,230500,黑龙江省,中部,0,553,71,400,82,475,6,397,72,
1438,2021,双鸭山市,230500,黑龙江省,中部,0,449,74,324,51,503,13,413,77,
1439,2022,双鸭山市,230500,黑龙江省,中部,0,404,76,289,39,429,21,365,43,
1440,2023,双鸭山市,230500,黑龙江省,中部,0,191,55,116,20,306,16,256,34,
1441,2000,大庆市,230600,黑龙江省,中部,0,286,63,197,26,283,12,243,28,
1442,2001,大庆市,230600,黑龙江省,中部,0,353,61,264,28,242,14,206,22,
1443,2002,大庆市,230600,黑龙江省,中部,0,681,120,546,15,326,18,279,29,
1444,2003,大庆市,230600,黑龙江省,中部,0,794,116,651,27,593,31,542,20,
1445,2004,大庆市,230600,黑龙江省,中部,0,643,139,491,13,601,49,534,18,
1446,2005,大庆市,230600,黑龙江省,中部,0,721,124,559,38,598,69,509,20,
1447,2006,大庆市,230600,黑龙江省,中部,0,770,177,557,36,634,73,531,30,
1448,2007,大庆市,230600,黑龙江省,中部,0,769,158,587,24,711,57,622,32,
1449,2008,大庆市,230600,黑龙江省,中部,0,845,177,632,36,764,53,690,21,
1450,2009,大庆市,230600,黑龙江省,中部,0,960,209,713,38,820,100,678,42,
1451,2010,大庆市,230600,黑龙江省,中部,0,1220,253,938,29,924,56,820,48,
1452,2011,大庆市,230600,黑龙江省,中部,0,2721,301,2018,402,2071,103,1672,296,
1453,2012,大庆市,230600,黑龙江省,中部,0,2763,302,2166,295,2321,172,1866,283,
1454,2013,大庆市,230600,黑龙江省,中部,0,1995,324,1421,250,2679,195,2189,295,
1455,2014,大庆市,230600,黑龙江省,中部,0,1855,467,1280,108,1775,144,1482,149,
1456,2015,大庆市,230600,黑龙江省,中部,0,2397,538,1740,119,1883,197,1565,121,
1457,2016,大庆市,230600,黑龙江省,中部,0,2123,574,1417,132,1711,275,1325,111,
1458,2017,大庆市,230600,黑龙江省,中部,0,2178,596,1461,121,1634,284,1223,127,
1459,2018,大庆市,230600,黑龙江省,中部,0,2795,853,1796,146,1876,283,1458,135,
1460,2019,大庆市,230600,黑龙江省,中部,0,3550,1080,2257,213,2170,331,1678,161,
1461,2020,大庆市,230600,黑龙江省,中部,0,4374,989,3112,273,3483,394,2820,269,
1462,2021,大庆市,230600,黑龙江省,中部,0,3891,1158,2473,260,4130,600,3231,299,
1463,2022,大庆市,230600,黑龙江省,中部,0,3096,1030,1914,152,3287,647,2473,167,
1464,2023,大庆市,230600,黑龙江省,中部,0,1733,893,743,97,2311,597,1539,175,
1465,2000,伊春市,230700,黑龙江省,中部,0,70,30,38,2,64,7,44,13,
1466,2001,伊春市,230700,黑龙江省,中部,0,64,32,30,2,43,5,36,2,
1467,2002,伊春市,230700,黑龙江省,中部,0,77,24,42,11,39,1,31,7,
1468,2003,伊春市,230700,黑龙江省,中部,0,71,15,48,8,51,6,38,7,
1469,2004,伊春市,230700,黑龙江省,中部,0,67,25,34,8,60,9,43,8,
1470,2005,伊春市,230700,黑龙江省,中部,0,119,35,42,42,54,8,32,14,
1471,2006,伊春市,230700,黑龙江省,中部,0,133,30,77,26,76,5,34,37,
1472,2007,伊春市,230700,黑龙江省,中部,0,67,15,44,8,107,3,84,20,
1473,2008,伊春市,230700,黑龙江省,中部,0,103,24,46,33,74,7,57,10,
1474,2009,伊春市,230700,黑龙江省,中部,0,116,19,39,58,92,8,45,39,
1475,2010,伊春市,230700,黑龙江省,中部,0,127,25,66,36,112,2,55,55,
1476,2011,伊春市,230700,黑龙江省,中部,0,360,27,69,264,312,6,79,227,
1477,2012,伊春市,230700,黑龙江省,中部,0,524,64,175,285,317,3,61,253,
1478,2013,伊春市,230700,黑龙江省,中部,0,519,131,61,327,509,8,178,323,
1479,2014,伊春市,230700,黑龙江省,中部,0,388,115,78,195,196,4,60,132,
1480,2015,伊春市,230700,黑龙江省,中部,0,482,199,125,158,339,8,111,220,
1481,2016,伊春市,230700,黑龙江省,中部,0,189,50,83,56,242,4,106,132,
1482,2017,伊春市,230700,黑龙江省,中部,0,181,62,74,45,135,10,72,53,
1483,2018,伊春市,230700,黑龙江省,中部,0,374,110,135,129,166,8,87,71,
1484,2019,伊春市,230700,黑龙江省,中部,0,402,59,223,120,287,3,135,149,
1485,2020,伊春市,230700,黑龙江省,中部,0,661,173,364,124,368,6,247,115,
1486,2021,伊春市,230700,黑龙江省,中部,0,476,112,295,69,529,17,412,100,
1487,2022,伊春市,230700,黑龙江省,中部,0,462,82,265,115,407,17,294,96,
1488,2023,伊春市,230700,黑龙江省,中部,0,244,99,106,39,377,30,257,90,
1489,2000,佳木斯市,230800,黑龙江省,中部,0,84,15,51,18,93,8,66,19,
1490,2001,佳木斯市,230800,黑龙江省,中部,0,94,25,58,11,65,6,52,7,
1491,2002,佳木斯市,230800,黑龙江省,中部,0,98,28,64,6,71,2,59,10,
1492,2003,佳木斯市,230800,黑龙江省,中部,0,142,29,100,13,82,8,65,9,
1493,2004,佳木斯市,230800,黑龙江省,中部,0,128,34,80,14,103,9,80,14,
1494,2005,佳木斯市,230800,黑龙江省,中部,0,145,32,104,9,105,11,85,9,
1495,2006,佳木斯市,230800,黑龙江省,中部,0,143,39,91,13,119,14,98,7,
1496,2007,佳木斯市,230800,黑龙江省,中部,0,259,43,194,22,132,7,111,14,
1497,2008,佳木斯市,230800,黑龙江省,中部,0,253,28,204,21,244,6,217,21,
1498,2009,佳木斯市,230800,黑龙江省,中部,0,268,42,207,19,231,5,206,20,
1499,2010,佳木斯市,230800,黑龙江省,中部,0,384,56,238,90,293,7,253,33,
1500,2011,佳木斯市,230800,黑龙江省,中部,0,666,63,435,168,532,16,352,164,
1501,2012,佳木斯市,230800,黑龙江省,中部,0,886,55,596,235,667,20,422,225,
1502,2013,佳木斯市,230800,黑龙江省,中部,0,518,72,344,102,794,29,587,178,
1503,2014,佳木斯市,230800,黑龙江省,中部,0,554,135,380,39,471,19,416,36,
1504,2015,佳木斯市,230800,黑龙江省,中部,0,896,116,670,110,700,29,618,53,
1505,2016,佳木斯市,230800,黑龙江省,中部,0,737,168,478,91,567,49,398,120,
1506,2017,佳木斯市,230800,黑龙江省,中部,0,1124,204,828,92,754,38,603,113,
1507,2018,佳木斯市,230800,黑龙江省,中部,0,1288,291,810,187,878,61,709,108,
1508,2019,佳木斯市,230800,黑龙江省,中部,0,1298,257,837,204,1040,52,803,185,
1509,2020,佳木斯市,230800,黑龙江省,中部,0,1549,322,980,247,1182,88,862,232,
1510,2021,佳木斯市,230800,黑龙江省,中部,0,1596,434,955,207,1472,132,1090,250,
1511,2022,佳木斯市,230800,黑龙江省,中部,0,1424,422,788,214,1411,149,1037,225,
1512,2023,佳木斯市,230800,黑龙江省,中部,0,828,315,369,144,1168,198,741,229,
1513,2000,七台河市,230900,黑龙江省,中部,0,24,12,12,0,37,0,36,1,
1514,2001,七台河市,230900,黑龙江省,中部,0,25,3,21,1,20,4,15,1,
1515,2002,七台河市,230900,黑龙江省,中部,0,51,11,35,5,23,0,20,3,
1516,2003,七台河市,230900,黑龙江省,中部,0,49,19,27,3,42,3,34,5,
1517,2004,七台河市,230900,黑龙江省,中部,0,61,14,33,14,31,2,18,11,
1518,2005,七台河市,230900,黑龙江省,中部,0,43,12,24,7,40,3,34,3,
1519,2006,七台河市,230900,黑龙江省,中部,0,52,13,37,2,34,4,23,7,
1520,2007,七台河市,230900,黑龙江省,中部,0,79,28,47,4,50,3,45,2,
1521,2008,七台河市,230900,黑龙江省,中部,0,51,10,37,4,57,1,52,4,
1522,2009,七台河市,230900,黑龙江省,中部,0,73,18,54,1,51,7,40,4,
1523,2010,七台河市,230900,黑龙江省,中部,0,98,14,37,47,93,8,56,29,
1524,2011,七台河市,230900,黑龙江省,中部,0,92,20,42,30,69,3,38,28,
1525,2012,七台河市,230900,黑龙江省,中部,0,167,23,77,67,114,5,58,51,
1526,2013,七台河市,230900,黑龙江省,中部,0,243,77,132,34,155,3,98,54,
1527,2014,七台河市,230900,黑龙江省,中部,0,141,24,72,45,174,5,125,44,
1528,2015,七台河市,230900,黑龙江省,中部,0,234,83,84,67,157,17,70,70,
1529,2016,七台河市,230900,黑龙江省,中部,0,174,33,96,45,146,16,96,34,
1530,2017,七台河市,230900,黑龙江省,中部,0,168,21,103,44,132,22,74,36,
1531,2018,七台河市,230900,黑龙江省,中部,0,276,40,135,101,236,13,113,110,
1532,2019,七台河市,230900,黑龙江省,中部,0,414,45,221,148,241,9,137,95,
1533,2020,七台河市,230900,黑龙江省,中部,0,389,46,304,39,384,5,275,104,
1534,2021,七台河市,230900,黑龙江省,中部,0,318,81,211,26,365,19,312,34,
1535,2022,七台河市,230900,黑龙江省,中部,0,572,50,248,274,301,14,249,38,
1536,2023,七台河市,230900,黑龙江省,中部,0,148,39,80,29,480,21,189,270,
1537,2000,牡丹江市,231000,黑龙江省,中部,0,127,25,79,23,122,9,92,21,
1538,2001,牡丹江市,231000,黑龙江省,中部,0,176,38,103,35,114,5,84,25,
1539,2002,牡丹江市,231000,黑龙江省,中部,0,206,70,106,30,138,5,98,35,
1540,2003,牡丹江市,231000,黑龙江省,中部,0,219,46,114,59,131,1,101,29,
1541,2004,牡丹江市,231000,黑龙江省,中部,0,183,53,110,20,174,9,109,56,
1542,2005,牡丹江市,231000,黑龙江省,中部,0,223,41,140,42,132,8,100,24,
1543,2006,牡丹江市,231000,黑龙江省,中部,0,284,56,171,57,179,9,133,37,
1544,2007,牡丹江市,231000,黑龙江省,中部,0,268,62,174,32,260,18,194,48,
1545,2008,牡丹江市,231000,黑龙江省,中部,0,243,76,131,36,242,13,204,25,
1546,2009,牡丹江市,231000,黑龙江省,中部,0,293,65,179,49,205,23,136,46,
1547,2010,牡丹江市,231000,黑龙江省,中部,0,344,59,213,72,294,23,208,63,
1548,2011,牡丹江市,231000,黑龙江省,中部,0,1017,86,360,571,595,36,292,267,
1549,2012,牡丹江市,231000,黑龙江省,中部,0,1547,78,754,715,1136,32,353,751,
1550,2013,牡丹江市,231000,黑龙江省,中部,0,841,108,406,327,1447,27,837,583,
1551,2014,牡丹江市,231000,黑龙江省,中部,0,677,133,412,132,628,32,433,163,
1552,2015,牡丹江市,231000,黑龙江省,中部,0,682,170,416,96,556,29,433,94,
1553,2016,牡丹江市,231000,黑龙江省,中部,0,666,193,354,119,504,41,359,104,
1554,2017,牡丹江市,231000,黑龙江省,中部,0,848,268,402,178,490,61,277,152,
1555,2018,牡丹江市,231000,黑龙江省,中部,0,738,196,401,141,610,65,398,147,
1556,2019,牡丹江市,231000,黑龙江省,中部,0,1063,271,645,147,634,85,409,140,
1557,2020,牡丹江市,231000,黑龙江省,中部,0,1391,236,954,201,950,101,675,174,
1558,2021,牡丹江市,231000,黑龙江省,中部,0,1554,308,1059,187,1557,106,1216,235,
1559,2022,牡丹江市,231000,黑龙江省,中部,0,1152,251,752,149,1319,120,1044,155,
1560,2023,牡丹江市,231000,黑龙江省,中部,0,609,188,362,59,939,121,704,114,
1561,2000,黑河市,231100,黑龙江省,中部,0,33,12,17,4,32,5,22,5,
1562,2001,黑河市,231100,黑龙江省,中部,0,63,13,23,27,24,3,17,4,
1563,2002,黑河市,231100,黑龙江省,中部,0,45,16,29,0,46,1,20,25,
1564,2003,黑河市,231100,黑龙江省,中部,0,61,27,26,8,33,8,24,1,
1565,2004,黑河市,231100,黑龙江省,中部,0,53,13,31,9,39,5,27,7,
1566,2005,黑河市,231100,黑龙江省,中部,0,45,10,32,3,47,5,30,12,
1567,2006,黑河市,231100,黑龙江省,中部,0,55,15,38,2,39,7,32,0,
1568,2007,黑河市,231100,黑龙江省,中部,0,30,11,19,0,45,2,42,1,
1569,2008,黑河市,231100,黑龙江省,中部,0,53,20,30,3,26,1,24,1,
1570,2009,黑河市,231100,黑龙江省,中部,0,68,23,35,10,37,4,30,3,
1571,2010,黑河市,231100,黑龙江省,中部,0,70,16,52,2,69,7,50,12,
1572,2011,黑河市,231100,黑龙江省,中部,0,413,22,108,283,245,4,79,162,
1573,2012,黑河市,231100,黑龙江省,中部,0,634,21,202,411,437,11,100,326,
1574,2013,黑河市,231100,黑龙江省,中部,0,293,41,139,113,516,7,237,272,
1575,2014,黑河市,231100,黑龙江省,中部,0,300,34,240,26,314,11,234,69,
1576,2015,黑河市,231100,黑龙江省,中部,0,294,47,238,9,219,5,203,11,
1577,2016,黑河市,231100,黑龙江省,中部,0,355,36,297,22,280,9,260,11,
1578,2017,黑河市,231100,黑龙江省,中部,0,418,45,344,29,330,10,292,28,
1579,2018,黑河市,231100,黑龙江省,中部,0,514,52,402,60,377,10,337,30,
1580,2019,黑河市,231100,黑龙江省,中部,0,922,96,713,113,517,11,427,79,
1581,2020,黑河市,231100,黑龙江省,中部,0,1050,71,845,134,1007,15,844,148,
1582,2021,黑河市,231100,黑龙江省,中部,0,808,116,585,107,969,21,811,137,
1583,2022,黑河市,231100,黑龙江省,中部,0,570,86,378,106,683,32,554,97,
1584,2023,黑河市,231100,黑龙江省,中部,0,264,56,152,56,425,27,299,99,
1585,2000,绥化市,231200,黑龙江省,中部,0,118,32,56,30,90,7,56,27,
1586,2001,绥化市,231200,黑龙江省,中部,0,108,33,63,12,94,9,57,28,
1587,2002,绥化市,231200,黑龙江省,中部,0,127,35,69,23,81,10,59,12,
1588,2003,绥化市,231200,黑龙江省,中部,0,127,30,78,19,113,15,74,24,
1589,2004,绥化市,231200,黑龙江省,中部,0,127,39,70,18,101,19,64,18,
1590,2005,绥化市,231200,黑龙江省,中部,0,136,38,80,18,111,23,72,16,
1591,2006,绥化市,231200,黑龙江省,中部,0,143,38,91,14,109,21,70,18,
1592,2007,绥化市,231200,黑龙江省,中部,0,160,38,96,26,140,22,106,12,
1593,2008,绥化市,231200,黑龙江省,中部,0,210,47,101,62,150,18,109,23,
1594,2009,绥化市,231200,黑龙江省,中部,0,189,52,101,36,195,20,108,67,
1595,2010,绥化市,231200,黑龙江省,中部,0,200,53,111,36,174,15,112,47,
1596,2011,绥化市,231200,黑龙江省,中部,0,382,48,88,246,267,29,124,114,
1597,2012,绥化市,231200,黑龙江省,中部,0,545,97,140,308,414,24,87,303,
1598,2013,绥化市,231200,黑龙江省,中部,0,502,129,232,141,522,26,217,279,
1599,2014,绥化市,231200,黑龙江省,中部,0,444,69,296,79,326,18,255,53,
1600,2015,绥化市,231200,黑龙江省,中部,0,395,82,246,67,406,25,292,89,
1601,2016,绥化市,231200,黑龙江省,中部,0,613,120,366,127,423,29,291,103,
1602,2017,绥化市,231200,黑龙江省,中部,0,843,142,583,118,517,33,370,114,
1603,2018,绥化市,231200,黑龙江省,中部,0,877,147,564,166,717,37,546,134,
1604,2019,绥化市,231200,黑龙江省,中部,0,1367,208,953,206,726,26,538,162,
1605,2020,绥化市,231200,黑龙江省,中部,0,2010,279,1503,228,1431,38,1160,233,
1606,2021,绥化市,231200,黑龙江省,中部,0,1749,270,1288,191,1951,71,1639,241,
1607,2022,绥化市,231200,黑龙江省,中部,0,1196,158,866,172,1551,67,1295,189,
1608,2023,绥化市,231200,黑龙江省,中部,0,498,127,290,81,933,108,686,139,
1609,2000,上海市,310000,上海市,东部,1,8416,4388,2102,1926,3538,270,1942,1326,
1610,2001,上海市,310000,上海市,东部,1,8681,3053,2733,2895,4524,306,2160,2058,
1611,2002,上海市,310000,上海市,东部,1,16967,3789,3814,9364,6370,312,2669,3389,
1612,2003,上海市,310000,上海市,东部,1,14553,5433,4453,4667,13989,844,3468,9677,
1613,2004,上海市,310000,上海市,东部,1,17259,7114,5080,5065,9633,1588,3829,4216,
1614,2005,上海市,310000,上海市,东部,1,22465,9437,6518,6510,11283,1909,4315,5059,
1615,2006,上海市,310000,上海市,东部,1,30000,11582,8413,10005,14435,2658,6280,5497,
1616,2007,上海市,310000,上海市,东部,1,35554,14645,10186,10723,21530,3048,9356,9126,
1617,2008,上海市,310000,上海市,东部,1,40644,16655,12802,11187,23384,4141,12056,7187,
1618,2009,上海市,310000,上海市,东部,1,53708,20744,17324,15640,32435,6008,12983,13444,
1619,2010,上海市,310000,上海市,东部,1,57574,23588,20460,13526,47983,6472,20002,21509,
1620,2011,上海市,310000,上海市,东部,1,61685,28205,22577,10903,47445,8681,23298,15466,
1621,2012,上海市,310000,上海市,东部,1,68356,32325,27029,9002,43641,11128,23060,9453,
1622,2013,上海市,310000,上海市,东部,1,69808,35470,25994,8344,50908,11281,30869,8758,
1623,2014,上海市,310000,上海市,东部,1,74142,36953,29152,8037,49121,11428,29686,8007,
1624,2015,上海市,310000,上海市,东部,1,89640,43285,36300,10055,58610,16339,32550,9721,
1625,2016,上海市,310000,上海市,东部,1,106582,50505,44488,11589,65436,20660,34743,10033,
1626,2017,上海市,310000,上海市,东部,1,127906,56466,56152,15288,72808,20692,39935,12181,
1627,2018,上海市,310000,上海市,东部,1,140205,62909,61667,15629,92459,21356,55562,15541,
1628,2019,上海市,310000,上海市,东部,1,175765,73076,82928,19761,100569,22730,61635,16204,
1629,2020,上海市,310000,上海市,东部,1,213910,84174,107257,22479,139750,24209,92226,23315,
1630,2021,上海市,310000,上海市,东部,1,228161,93975,109252,24934,179311,32860,120852,25599,
1631,2022,上海市,310000,上海市,东部,1,198843,82888,94150,21805,178321,36798,118457,23066,
1632,2023,上海市,310000,上海市,东部,1,111606,57985,44594,9027,159111,44348,95373,19390,
1633,2000,南京市,320100,江苏省,东部,1,1200,360,616,224,1057,138,714,205,
1634,2001,南京市,320100,江苏省,东部,1,1484,535,712,237,972,92,635,245,
1635,2002,南京市,320100,江苏省,东部,1,1827,681,856,290,1108,117,701,290,
1636,2003,南京市,320100,江苏省,东部,1,2550,1127,979,444,1396,286,805,305,
1637,2004,南京市,320100,江苏省,东部,1,3172,1594,1051,527,1696,461,861,374,
1638,2005,南京市,320100,江苏省,东部,1,3863,1944,1324,595,2003,571,951,481,
1639,2006,南京市,320100,江苏省,东部,1,5736,3172,1754,810,2582,708,1252,622,
1640,2007,南京市,320100,江苏省,东部,1,5932,2987,1995,950,3536,897,1946,693,
1641,2008,南京市,320100,江苏省,东部,1,8345,4473,2698,1174,4547,1414,2400,733,
1642,2009,南京市,320100,江苏省,东部,1,11091,5712,3670,1709,6292,1862,2769,1661,
1643,2010,南京市,320100,江苏省,东部,1,13906,6801,4930,2175,8660,2382,4287,1991,
1644,2011,南京市,320100,江苏省,东部,1,19479,9942,5938,3599,11677,3271,5605,2801,
1645,2012,南京市,320100,江苏省,东部,1,28061,14255,8363,5443,15691,4283,6318,5090,
1646,2013,南京市,320100,江苏省,东部,1,31297,17894,9259,4144,19849,4925,10365,4559,
1647,2014,南京市,320100,江苏省,东部,1,40822,23069,12344,5409,22144,5296,11343,5505,
